Kind,Name,CountClassDerived,CountDeclMethodAll,CountDeclMethod,CountLine,CountLineCode,CountLineComment,MaxInheritanceTree,RatioCommentToCode,PercentLackOfCohesion
File,"LoggingUtilities.java",,,4,96,43,42,,0.98,
File,"LoggingUtilities.java",,,4,96,43,42,,0.98,
File,"MQTTFrame.java",,,25,865,496,270,,0.54,
File,"MQTTHist.java",,,8,194,99,70,,0.71,
File,"MemoryPersistence.java",,,9,111,46,52,,1.13,
File,"MemoryPersistence.java",,,9,111,46,52,,1.13,
File,"MessageCatalog.java",,,2,46,23,20,,0.87,
File,"MessageCatalog.java",,,2,46,23,20,,0.87,
File,"Mode.java",,,2,6,4,0,,0.00,
File,"ModelTestCase.java",,,29,686,480,160,,0.33,
File,"MqttAck.java",,,2,31,10,19,,1.90,
File,"MqttAck.java",,,3,37,12,21,,1.75,
File,"MqttActionListener.java",,,2,30,5,24,,4.80,
File,"MqttAsyncClient.java",,,76,1793,680,965,,1.42,
File,"MqttAsyncClient.java",,,71,1506,547,832,,1.52,
File,"MqttAsyncClient.java",,,35,399,322,2,,0.01,
File,"MqttAsyncClientPaho.java",,,5,67,19,39,,2.05,
File,"MqttAsyncClientPaho.java",,,5,67,19,39,,2.05,
File,"MqttAuth.java",,,7,123,65,43,,0.66,
File,"MqttAuthTest.java",,,3,86,57,16,,0.28,
File,"MqttCallback.java",,,6,132,12,111,,9.25,
File,"MqttCallback.java",,,3,79,6,68,,11.33,
File,"MqttCallbackExtended.java",,,1,34,4,27,,6.75,
File,"MqttClient.java",,,48,722,193,474,,2.46,
File,"MqttClient.java",,,37,730,153,534,,3.49,
File,"MqttClientException.java",,,0,164,35,102,,2.91,
File,"MqttClientException.java",,,0,143,32,88,,2.75,
File,"MqttClientFactoryPaho.java",,,8,99,28,57,,2.04,
File,"MqttClientFactoryPaho.java",,,8,99,28,57,,2.04,
File,"MqttClientInterface.java",,,2,9,5,0,,0.00,
File,"MqttClientPaho.java",,,5,68,20,39,,1.95,
File,"MqttClientPaho.java",,,5,68,20,39,,1.95,
File,"MqttClientPersistence.java",,,8,102,12,81,,6.75,
File,"MqttClientPersistence.java",,,8,104,14,80,,5.71,
File,"MqttClientPersistence.java",,,8,103,14,80,,5.71,
File,"MqttConnAck.java",,,12,154,106,25,,0.24,
File,"MqttConnAckTest.java",,,3,147,98,25,,0.26,
File,"MqttConnack.java",,,7,70,36,23,,0.64,
File,"MqttConnect.java",,,23,337,228,54,,0.24,
File,"MqttConnect.java",,,9,174,118,34,,0.29,
File,"MqttConnectOptions.java",,,41,704,201,456,,2.27,
File,"MqttConnectOptionsTest.java",,,2,33,26,0,,0.00,
File,"MqttConnectTest.java",,,3,168,119,27,,0.23,
File,"MqttConnectionOptions.java",,,62,971,283,643,,2.27,
File,"MqttConnectionOptionsBuilder.java",,,20,109,85,0,,0.00,
File,"MqttConnectionResultImpl.java",,,2,19,14,0,,0.00,
File,"MqttConnectionState.java",,,26,168,98,27,,0.28,
File,"MqttDataTypes.java",,,12,253,156,76,,0.49,
File,"MqttDataTypesTest.java",,,24,222,152,39,,0.26,
File,"MqttDataTypesTest.java",,,12,145,94,30,,0.32,
File,"MqttDefaultFilePersistence.java",,,15,300,198,70,,0.35,
File,"MqttDefaultFilePersistence.java",,,15,307,205,70,,0.34,
File,"MqttDeliveryResultImpl.java",,,2,22,16,0,,0.00,
File,"MqttDeliveryToken.java",,,4,53,15,32,,2.13,
File,"MqttDeliveryToken.java",,,4,56,17,32,,1.88,
File,"MqttDeliveryToken.java",,,2,25,19,0,,0.00,
File,"MqttDisconnect.java",,,6,54,24,21,,0.88,
File,"MqttDisconnect.java",,,7,129,90,19,,0.21,
File,"MqttDisconnectResponse.java",,,8,97,43,42,,0.98,
File,"MqttDisconnectTest.java",,,4,108,68,17,,0.25,
File,"MqttException.java",,,7,239,63,144,,2.29,
File,"MqttException.java",,,8,158,74,68,,0.92,
File,"MqttInputStream.java",,,6,154,89,45,,0.51,
File,"MqttInputStream.java",,,6,166,99,45,,0.45,
File,"MqttMessage.java",,,17,246,72,152,,2.11,
File,"MqttMessage.java",,,21,298,90,181,,2.01,
File,"MqttMessageImpl.java",,,4,36,25,0,,0.00,
File,"MqttOutputStream.java",,,7,94,51,28,,0.55,
File,"MqttOutputStream.java",,,7,101,59,27,,0.46,
File,"MqttPacketException.java",,,1,43,12,26,,2.17,
File,"MqttPersistable.java",,,6,111,9,95,,10.56,
File,"MqttPersistable.java",,,6,102,9,86,,9.56,
File,"MqttPersistableWireMessage.java",,,7,67,38,18,,0.47,
File,"MqttPersistableWireMessage.java",,,7,76,49,17,,0.35,
File,"MqttPersistenceException.java",,,4,60,17,39,,2.29,
File,"MqttPersistenceException.java",,,4,45,17,24,,1.41,
File,"MqttPersistentData.java",,,8,98,50,36,,0.72,
File,"MqttPersistentData.java",,,8,98,50,36,,0.72,
File,"MqttPingReq.java",,,5,52,24,20,,0.83,
File,"MqttPingReq.java",,,6,56,24,22,,0.92,
File,"MqttPingReqTest.java",,,2,53,25,16,,0.64,
File,"MqttPingResp.java",,,5,52,24,20,,0.83,
File,"MqttPingResp.java",,,4,46,17,22,,1.29,
File,"MqttPingRespTest.java",,,2,53,25,16,,0.64,
File,"MqttPingSender.java",,,4,46,8,30,,3.75,
File,"MqttPingSender.java",,,4,52,8,36,,4.50,
File,"MqttProperties.java",,,63,1418,593,682,,1.15,
File,"MqttPropertiesTest.java",,,9,224,109,86,,0.79,
File,"MqttPubAck.java",,,4,52,25,19,,0.76,
File,"MqttPubAck.java",,,6,116,79,20,,0.25,
File,"MqttPubAckTest.java",,,5,108,74,18,,0.24,
File,"MqttPubComp.java",,,7,118,79,21,,0.27,
File,"MqttPubComp.java",,,4,51,25,18,,0.72,
File,"MqttPubCompTest.java",,,5,109,74,18,,0.24,
File,"MqttPubRec.java",,,7,121,82,21,,0.26,
File,"MqttPubRec.java",,,3,46,21,18,,0.86,
File,"MqttPubRecTest.java",,,5,107,74,18,,0.24,
