Kind,Name,CountLine,CountLineCode,CountLineComment,CountDeclMethodAll,CountDeclMethod,CountClassDerived,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree
File,WeightedChoice.java,190,97,74,,9,,0.76,,
File,WeightedNIPaths.java,206,135,44,,7,,0.33,,
File,WorldMapGraphDemo.java,261,198,24,,11,,0.12,,
Package,edu,0,0,0,,0,,0,,
Package,edu.uci,0,0,0,,0,,0,,
Package,edu.uci.ics,0,0,0,,0,,0,,
Package,edu.uci.ics.jung,0,0,0,,0,,0,,
Package,edu.uci.ics.jung.algorithms,0,0,0,,0,,0,,
Package,edu.uci.ics.jung.algorithms.blockmodel,294,149,113,,12,,0.76,,
Public Generic Class,edu.uci.ics.jung.algorithms.blockmodel.NodePartition,102,46,48,8,8,0,1.04,41,1
TypeVariable,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.N,0,0,0,0,0,0,0,0,1
Public Constructor,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.NodePartition,15,5,10,,,,2,,
Public Constructor,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.NodePartition,11,4,7,,,,1.75,,
Public Constructor,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.NodePartition,11,4,7,,,,1.75,,
Public Method,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.getGraph,8,3,5,,,,1.67,,
Public Method,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.getNodePartitions,14,7,7,,,,1,,
Public Method,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.getNodeToPartitionMap,17,11,6,,,,0.55,,
Public Method,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.numPartitions,4,3,1,,,,0.33,,
Public Method,edu.uci.ics.jung.algorithms.blockmodel.NodePartition.toString,3,3,0,,,,0,,
Public Generic Class,edu.uci.ics.jung.algorithms.blockmodel.StructurallyEquivalent,144,81,43,4,4,0,0.53,0,1
TypeVariable,edu.uci.ics.jung.algorithms.blockmodel.StructurallyEquivalent.N,0,0,0,0,0,0,0,0,1
Public Method,edu.uci.ics.jung.algorithms.blockmodel.StructurallyEquivalent.apply,32,27,3,,,,0.11,,
Protected Method,edu.uci.ics.jung.algorithms.blockmodel.StructurallyEquivalent.canBeEquivalent,11,3,8,,,,2.67,,
Protected Method,edu.uci.ics.jung.algorithms.blockmodel.StructurallyEquivalent.getEquivalentPairs,41,25,8,,,,0.32,,
Protected Method,edu.uci.ics.jung.algorithms.blockmodel.StructurallyEquivalent.isStructurallyEquivalent,41,24,10,,,,0.42,,
Package,edu.uci.ics.jung.algorithms.cluster,999,541,346,,33,,0.64,,
Public Generic Class,edu.uci.ics.jung.algorithms.cluster.BicomponentClusterer,124,62,57,3,3,0,0.92,33,1
Public Constructor,edu.uci.ics.jung.algorithms.cluster.BicomponentClusterer.BicomponentClusterer,2,1,1,,,,1,,
TypeVariable,edu.uci.ics.jung.algorithms.cluster.BicomponentClusterer.E,0,0,0,0,0,0,0,0,1
TypeVariable,edu.uci.ics.jung.algorithms.cluster.BicomponentClusterer.N,0,0,0,0,0,0,0,0,1
Public Method,edu.uci.ics.jung.algorithms.cluster.BicomponentClusterer.apply,40,25,11,,,,0.44,,
Protected Method,edu.uci.ics.jung.algorithms.cluster.BicomponentClusterer.findBiconnectedComponents,60,29,33,,,,1.14,,
